/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 500, normalising constant 0.9991550445556641 0.03596806526184082
run 15 cop_u 2 DONE 1594.2562
Epoch 100, normalising constant 1.0092124938964844 -0.00017088651657104492
Epoch 200, normalising constant 1.0085618495941162 0.010281264781951904
Epoch 300, normalising constant 1.0073381662368774 0.03525519371032715
Epoch 400, normalising constant 1.0063776969909668 0.012959480285644531
Epoch 500, normalising constant 1.0059608221054077 -0.03011023998260498
run 15 cop_u 3 DONE 4389.3916
Epoch 100, normalising constant 1.0147258043289185 -0.00026047229766845703
Epoch 200, normalising constant 1.0128437280654907 -0.006400644779205322
Epoch 300, normalising constant 1.00958251953125 0.020736753940582275
Epoch 400, normalising constant 1.0075745582580566 0.0180395245552063
Epoch 500, normalising constant 1.0067116022109985 -0.0006715059280395508
run 16 cop_u 0 DONE 996.59705
Epoch 100, normalising constant 1.005873203277588 0.0004966855049133301
Epoch 200, normalising constant 1.0059746503829956 0.00036156177520751953
Epoch 300, normalising constant 1.0056989192962646 0.0031456947326660156
Epoch 400, normalising constant 1.005631923675537 -0.006744027137756348
Epoch 500, normalising constant 1.0056074857711792 -0.021978318691253662
run 16 cop_u 1 DONE 2013.5999
Epoch 100, normalising constant 1.0264590978622437 -0.0011616349220275879
Epoch 200, normalising constant 1.023815631866455 0.00046437978744506836
Epoch 300, normalising constant 1.0192408561706543 -0.026294291019439697
Epoch 400, normalising constant 1.0151103734970093 -0.013589978218078613
Epoch 500, normalising constant 1.0119255781173706 -0.03813350200653076
run 16 cop_u 2 DONE 1863.2661
Epoch 100, normalising constant 1.0020264387130737 0.00229567289352417
Epoch 200, normalising constant 1.0003941059112549 0.001426100730895996
Epoch 300, normalising constant 0.9979017376899719 0.005828738212585449
Epoch 400, normalising constant 0.9961236715316772 0.03309434652328491
Epoch 500, normalising constant 0.9940937757492065 -0.00737994909286499
run 16 cop_u 3 DONE 168.29233
Epoch 100, normalising constant 1.0201706886291504 0.00035756826400756836
Epoch 200, normalising constant 1.0184237957000732 6.633996963500977e-05
Epoch 300, normalising constant 1.0172185897827148 -0.02509099245071411
Epoch 400, normalising constant 1.0161399841308594 -0.0031188130378723145
Epoch 500, normalising constant 1.0151629447937012 -0.029349148273468018
run 17 cop_u 0 DONE 4842.2637
Epoch 100, normalising constant 1.0161588191986084 -0.00014668703079223633
Epoch 200, normalising constant 1.0145889520645142 0.018594801425933838
Epoch 300, normalising constant 1.0119527578353882 0.001151740550994873
Epoch 400, normalising constant 1.0097359418869019 -0.0017904043197631836
Epoch 500, normalising constant 1.0077921152114868 0.03833329677581787
run 17 cop_u 1 DONE 1780.5195
Epoch 100, normalising constant 1.0059599876403809 -0.00020068883895874023
Epoch 200, normalising constant 1.005744457244873 0.0006196498870849609
Epoch 300, normalising constant 1.0048425197601318 0.0001341700553894043
Epoch 400, normalising constant 1.0029840469360352 -0.00562441349029541
Epoch 500, normalising constant 1.0010828971862793 -0.0037513375282287598
run 17 cop_u 2 DONE 1753.8022
Epoch 100, normalising constant 0.997933566570282 0.002074003219604492
Epoch 200, normalising constant 0.9932403564453125 0.026342332363128662
Epoch 300, normalising constant 0.9917894005775452 -0.006979584693908691
Epoch 400, normalising constant 0.9916128516197205 0.03365182876586914
Epoch 500, normalising constant 0.9918060898780823 0.040095746517181396
run 17 cop_u 3 DONE 2363.6477
Epoch 100, normalising constant 1.0124998092651367 0.00040149688720703125
